Species,Year,Column1,rep,pdoug,phi,rho,sigma
S,1,0.5803414156690485,1,19,56.075517206921155,0.0102281673560298,0.5
S,2,1.8334920793995437,1,19,56.075517206921155,0.0102281673560298,0.5
S,3,2.2095162874533023,1,19,56.075517206921155,0.0102281673560298,0.5
S,4,2.6601105790197517,1,19,56.075517206921155,0.0102281673560298,0.5
S,5,2.908223943614532,1,19,56.075517206921155,0.0102281673560298,0.5
S,6,1.655851901921434,1,19,56.075517206921155,0.0102281673560298,0.5
S,7,1.5833684765092564,1,19,56.075517206921155,0.0102281673560298,0.5
S,8,1.0871710210801022,1,19,56.075517206921155,0.0102281673560298,0.5
S,9,1.082658897016115,1,19,56.075517206921155,0.0102281673560298,0.5
S,10,0.7226380075244588,1,19,56.075517206921155,0.0102281673560298,0.5
S,11,2.255613667585614,1,19,56.075517206921155,0.0102281673560298,0.5
S,12,2.724257854665969,1,19,56.075517206921155,0.0102281673560298,0.5
S,13,4.344448565114306,1,19,56.075517206921155,0.0102281673560298,0.5
S,14,9.857791521410189,1,19,56.075517206921155,0.0102281673560298,0.5
S,15,8.641372401731946,1,19,56.075517206921155,0.0102281673560298,0.5
S,16,11.420095720724328,1,19,56.075517206921155,0.0102281673560298,0.5
S,17,7.005166841176834,1,19,56.075517206921155,0.0102281673560298,0.5
S,18,1.7630318207251459,1,19,56.075517206921155,0.0102281673560298,0.5
S,19,0.9695261096403709,1,19,56.075517206921155,0.0102281673560298,0.5
S,20,3.7811237027101816,1,19,56.075517206921155,0.0102281673560298,0.5
S,21,3.5045607538784003,1,19,56.075517206921155,0.0102281673560298,0.5
S,22,1.7308494361082971,1,19,56.075517206921155,0.0102281673560298,0.5
S,23,2.2773601812497923,1,19,56.075517206921155,0.0102281673560298,0.5
S,24,3.595067086506466,1,19,56.075517206921155,0.0102281673560298,0.5
S,25,5.033980494230454,1,19,56.075517206921155,0.0102281673560298,0.5
S,26,6.1386032046973185,1,19,56.075517206921155,0.0102281673560298,0.5
S,27,7.267858827993124,1,19,56.075517206921155,0.0102281673560298,0.5
S,28,16.38636555398219,1,19,56.075517206921155,0.0102281673560298,0.5
S,29,6.6589451145538465,1,19,56.075517206921155,0.0102281673560298,0.5
S,30,7.37052749949288,1,19,56.075517206921155,0.0102281673560298,0.5
S,31,5.258869982428494,1,19,56.075517206921155,0.0102281673560298,0.5
S,32,3.307774373270439,1,19,56.075517206921155,0.0102281673560298,0.5
